,0
0,2.2342924251321197
1,1.0018148820326678
2,1.018651362984218
3,1.0181907571288102
4,2.782390837508948
5,1.0796555435952637
6,1.007592190889371
7,1.0042826552462527
8,1.3773498093860919
9,1.0588486140724946
10,1.191415313225058
11,1.0119225037257824
12,1.0597391670172487
13,1.018552875695733
14,1.091062870031012
15,1.0016129032258065
16,1.7217212814309801
17,1.0623052959501558
18,1.1400966183574879
19,1.0073421439060206
20,1.0393700787401574
21,1.0507380073800738
22,1.9582022686111906
23,1.0102432778489117
24,1.0205655526992288
25,1.034056886227545
26,1.0018281535648994
27,1.0046367851622875
28,1.0094117647058825
29,1.0057887120115774
30,1.1025091143040961
31,1.0131492439184746
32,1.027047913446677
33,1.0107731305449936
34,1.0744863013698631
35,1.0083565459610029
36,1.1088260497000857
37,1.028555272830082
38,1.0520748576078112
39,1.4250674515575177
40,1.985239852398524
41,1.3811777076761305
42,1.0092378752886837
43,1.002212389380531
44,1.511888305225325
45,1.307596123788684
46,1.0304311073541843
47,1.003690036900369
48,1.0044345898004434
49,1.1255255255255254
50,1.0075757575757576
51,1.0401673640167364
52,1.1281378793555639
53,1.0022296544035674
54,1.1156721888286174
55,1.003826530612245
56,1.0102774922918807
57,1.0018587360594795
58,1.0035128805620608
59,1.0127064803049555
60,1.0072202166064983
61,1.0405924300603402
62,1.973736411965405
63,1.0743014052657083
64,1.0243519245875883
65,1.3276474769012083
66,1.0210378681626928
67,1.1047619047619048
68,1.0081190798376185
69,1.0165314096783888
70,1.0040816326530613
71,1.2093761015156856
72,1.0158610271903323
73,1.0139303482587065
74,1.08053628351772
75,1.0024906600249066
76,1.0039267015706805
77,1.0077619663648125
78,1.0359937402190924
79,1.0129589632829374
80,1.1668975069252077
81,1.0039525691699605
82,1.0075187969924813
83,1.1218115564809994
84,1.0147172734314485
85,1.0032679738562091
86,1.0
87,1.002659574468085
88,1.0069565217391305
89,1.0356662180349934
90,1.004823151125402
91,1.0108225108225108
92,1.0021739130434784
93,1.0121412803532008
94,1.0017094017094017
95,1.0103626943005182
96,1.0060728744939271
97,1.015963511972634
98,1.0018484288354899
99,1.3776150627615062
100,1.005427408412483
101,1.0039447731755424
102,1.1551330798479087
103,1.0169779286926994
104,1.0081383519837233
105,1.005089058524173
106,1.0177487155534797
107,1.0050590219224282
108,1.0657142857142856
109,1.2210020590253947
110,1.0026315789473683
111,1.0083752093802345
112,1.005540166204986
113,1.0051746442432083
114,1.001628664495114
115,1.0373831775700935
116,1.002932551319648
117,1.0043103448275863
118,1.0173745173745175
119,1.0149732620320855
120,1.003921568627451
121,1.0039525691699605
122,1.0046296296296295
123,1.0086614173228345
124,1.0145985401459854
125,1.0101476014760147
126,1.0227722772277228
127,1.008230452674897
128,1.0343377715487037
129,1.02
130,1.0160714285714285
131,1.0056497175141244
132,1.001908396946565
133,1.0045112781954888
134,1.0235972732039853
135,1.0155210643015522
136,1.106396255850234
137,1.0368421052631578
138,1.0047923322683705
139,1.0
140,1.00253807106599
141,1.022851919561243
142,1.0069124423963134
143,1.0052356020942408
144,1.0036452004860268
145,1.0
146,1.0422535211267605
147,1.0054229934924077
148,1.0169851380042463
149,1.0173160173160174
150,1.1983471074380165
151,1.009331259720062
152,1.0083102493074791
153,1.005008347245409
154,1.0018587360594795
155,1.0093023255813953
156,1.001432664756447
157,1.0014771048744462
158,1.004524886877828
159,1.0068587105624143
160,1.0065616797900263
161,1.022870662460568
162,1.1757062146892656
163,1.568314606741573
164,1.5273181392444584
165,1.0123574144486691
166,1.0112634671890304
167,1.4182630906768838
168,1.0021739130434784
169,1.0060698027314112
170,1.0082135523613962
171,1.002932551319648
172,1.0097087378640777
173,1.0122249388753055
174,1.0086555106751298
175,1.002659574468085
176,1.002677376171352
177,1.0205761316872428
178,1.010752688172043
179,1.002770083102493
180,1.0086132644272179
181,1.0022522522522523
182,1.0135690789473684
183,1.0090702947845804
184,1.199009083402147
185,1.0074906367041199
186,1.0698254364089776
187,1.0076103500761036
188,1.0023980815347722
189,1.009421265141319
190,1.0059288537549407
191,1.0178731009830206
192,1.0209371884346958
193,1.0127272727272727
194,1.032901296111665
195,1.001890359168242
196,1.0
197,1.0461432506887052
198,1.0041928721174005
199,1.0086767895878526
200,1.0
201,1.0221606648199446
202,1.0180305131761442
203,1.0047021943573669
204,1.0373015873015874
205,1.0046403712296983
206,1.0025188916876575
207,1.0269192422731805
208,1.004225352112676
209,1.0057692307692307
210,1.012158054711246
211,1.0013774104683195
212,1.004343105320304
213,1.00177304964539
214,1.0126012601260126
215,1.0347523892267594
216,1.0100755667506298
217,1.002202643171806
218,1.0
219,1.0544771446462116
220,1.0076923076923077
221,1.0114566284779052
222,1.0336967294350843
223,1.0053571428571428
224,1.0
225,1.0058365758754864
226,1.0065645514223194
227,1.0078616352201257
228,1.0639880952380953
229,1.0041972717733474
230,1.0082191780821919
231,1.0067567567567568
232,1.0014947683109119
233,1.0
234,1.0161943319838056
235,1.0077639751552796
236,1.0062794348508635
237,1.0185185185185186
238,1.004149377593361
239,1.0325097529258778
240,1.0240793201133145
241,1.017921146953405
242,1.0016835016835017
243,1.003780718336484
244,1.001615508885299
245,1.0
246,1.005813953488372
247,1.0051546391752577
248,1.0
249,1.006060606060606
250,1.0030395136778116
251,1.0031446540880504
252,1.0035650623885919
253,1.0067024128686326
254,1.0059701492537314
255,1.0344599072233267
256,1.002808988764045
257,1.0038610038610039
258,1.010752688172043
259,1.0028985507246377
260,1.002724795640327
261,1.0022935779816513
262,1.0057405281285878
263,1.0014556040756915
264,1.0
265,1.0034722222222223
266,1.00354609929078
267,1.0016447368421053
268,1.0037950664136623
269,1.0278884462151394
270,1.0
271,1.0055617352614015
272,1.010233918128655
273,1.017915309446254
274,1.0016181229773462
275,1.0021367521367521
276,1.0203527815468114
277,1.0095351609058403
278,1.0140449438202248
279,1.006006006006006
280,1.0089285714285714
281,1.0
282,1.0178571428571428
283,1.035175879396985
284,1.0199335548172757
285,1.0031201248049921
286,1.009313154831199
287,1.0050968399592253
288,1.015701668302257
289,1.0032362459546926
290,1.0013793103448276
291,1.0090600226500566
292,1.0127877237851663
293,1.00390625
294,1.0036101083032491
295,1.0
296,1.0012674271229405
297,1.0065502183406114
298,1.0
299,1.0050377833753148
300,1.005540166204986
301,1.0068415051311288
302,1.0028544243577546
303,1.0022522522522523
304,1.0048661800486618
305,1.006677796327212
306,1.0
307,1.0021551724137931
308,1.0
309,1.021875
310,1.0
311,1.0
312,1.0018148820326678
313,1.004950495049505
314,1.0059241706161137
315,1.0066152149944874
316,1.003562945368171
317,1.0048076923076923
318,1.0019685039370079
319,1.0028901734104045
320,1.0097087378640777
321,1.0014749262536873
322,1.0026246719160106
323,1.0062208398133747
324,1.0026420079260239
325,1.0026109660574412
326,1.0
327,1.0130057803468209
328,1.0
329,1.0040160642570282
330,1.0021052631578948
331,1.0066815144766148
332,1.0
333,1.0029411764705882
334,1.0
335,1.0
336,1.002183406113537
337,1.071340713407134
338,1.0
339,1.0118343195266273
340,1.0048076923076923
341,1.00187617260788
342,1.006276150627615
343,1.0016260162601627
344,1.0030395136778116
345,1.0052724077328647
346,1.0039267015706805
347,1.0
348,1.0
349,1.0028129395218002
350,1.0263157894736843
351,1.0176211453744493
352,1.0053475935828877
353,1.0013123359580052
354,1.0
355,1.0045558086560364
356,1.0055248618784531
357,1.0
358,1.01
359,1.0049019607843137
360,1.0025125628140703
361,1.005722460658083
362,1.0028409090909092
363,1.003003003003003
364,1.0
365,1.011441647597254
366,1.0090634441087614
367,1.0
368,1.0019646365422397
369,1.0056179775280898
370,1.0103480714957667
371,1.002079002079002
372,1.0
373,1.0027932960893855
374,1.0549132947976878
375,1.0075949367088608
376,1.0086580086580086
377,1.0031152647975077
378,1.0025839793281655
379,1.0172413793103448
380,1.0024509803921569
381,1.0075566750629723
382,1.0029411764705882
383,1.0
384,1.002409638554217
385,1.0
386,1.5
387,1.0
388,1.0
389,1.0
390,1.0
391,1.0
392,1.0
393,1.0
394,1.0
395,1.0
396,1.0
397,1.0
398,1.0
399,1.0
400,1.0
401,1.25
402,1.0
403,1.0
404,1.0
405,2.5
406,1.0
407,1.0
408,1.0
409,1.3333333333333333
410,1.0
411,1.0
412,1.0
413,1.0
414,1.0
415,2.0
416,1.0
417,1.0
418,1.0
419,1.0
420,1.0
421,1.0
422,1.0
423,1.0
424,1.0
425,1.0
